[2026-09-18T05:11:01.392Z] QUALITY_ISSUE_KEPT: ID=7519583 | Category=Dining | Name="Wesley Glass 4 Seater Dining Table In Dark Walnut Finish" | Details={"wordCount":null,"retryWordCount":56,"restrictedUsed":["dining","wood","seater","walnut","design","rich","12","glass","conversation","warmth","lines","blends","comfortable","ideal","around","dark","four","meal","guests","tempered","intimate","meet","keeps"],"similarPrior":null}
[2026-09-18T05:11:45.224Z] QUALITY_ISSUE_KEPT: ID=7519568 | Category=Dining | Name="Bourdaine Glass 6 Seater Dining Table In Mahogany Finish" | Details={"wordCount":null,"retryWordCount":65,"restrictedUsed":["dining","wood","table","seater","sheesham","six","solid","experience","36","meals","style","rich","refined","legs","invites","glass","striking","form","surface","support","area","balances","visual","contemporary","lightness","creating","sleek","look","pairs","anchors","flair","sturdy","mahogany","family","toughened"],"similarPrior":"Experience the tactile interplay of deep wood tones and transparent glass in a design that sparks conversation."}
[2026-09-18T05:13:01.539Z] QUALITY_ISSUE_KEPT: ID=8115826 | Category=Dining | Name="Fidora 4 Seater Dining Table In Teak Finish" | Details={"wordCount":64,"retryWordCount":57,"restrictedUsed":["dining","wood","table","seater","sheesham","crafted","home","teak","seating","36","meals","every","collection","brings","refined","features","gathering","character","shared","oasis","timeless","adds","depth","making"],"similarPrior":null}
[2026-09-18T05:14:25.491Z] QUALITY_ISSUE_KEPT: ID=8340181 | Category=Dining | Name="Atlas Solid Wood 4 Seater Dining Table In Danish Walnut Finish" | Details={"wordCount":69,"retryWordCount":58,"restrictedUsed":["dining","wood","table","seater","walnut","solid","36","natural","design","danish","mango","centerpiece","brings","rich","clean","top","character","chair","architectural","organic","warmth","lines","adds","versatile","grain","tones","atlas","dinners","radiates","adapts"],"similarPrior":"Warmth radiates from the rich tones of solid mango wood, inviting connection and conversation."}
[2026-09-18T05:15:01.418Z] QUALITY_ISSUE_KEPT: ID=9421500 | Category=Dining | Name="Bunai Solid Wood 6 Seater Dining Table In Teak Finish" | Details={"wordCount":57,"retryWordCount":72,"restrictedUsed":["dining","wood","chairs","table","seater","sheesham","six","solid","teak","seating","36","natural","warm","rich","room","base","anchor","grain","tones","pair","family","matching","seats"],"similarPrior":null}
[2026-09-18T05:15:43.636Z] QUALITY_ISSUE_KEPT: ID=8340464 | Category=Dining | Name="Brighton XL 6 Seater Dining Table In Amber Walnut Finish" | Details={"wordCount":null,"retryWordCount":68,"restrictedUsed":["dining","wood","chairs","table","seater","walnut","solid","set","36","mango","centerpiece","rich","invites","glass","area","amber","beautifully","sophisticated","versatile","distinctive","complete","tones","pairs","allowing","glow","toughened"],"similarPrior":null}
[2026-09-18T05:16:26.840Z] QUALITY_ISSUE_KEPT: ID=9421499 | Category=Dining | Name="Roca Engineered Wood 6 Seater Dining Table In Two Tone Finish" | Details={"wordCount":null,"retryWordCount":47,"restrictedUsed":["dining","wood","chairs","table","seater","six","set","36","natural","legs","offers","modern","top","perfect","blend","tone","aesthetic","visual","white","contemporary","classic","complete","rubber","flair","unique","charm","pair","interest","contrast","creates","two","add"],"similarPrior":"Blend rustic heritage with modern crispness in a centerpiece that redefines your dining space."}
[2026-09-18T05:17:01.387Z] QUALITY_ISSUE_KEPT: ID=10177981 | Category=Dining | Name="Massa Sanwar Lazy Susan" | Details={"wordCount":null,"retryWordCount":67,"restrictedUsed":["dining","table","seater","solid","36","meals","touch","every","gatherings","brings","form","shared","effortless","elegance","timeless","white","sophisticated","making","tables","counters","appeal","marble","feel","spaces","easy","keeps","within"],"similarPrior":null}
[2026-09-18T05:17:45.938Z] QUALITY_ISSUE_KEPT: ID=9644470 | Category=Dining | Name="Aero Solid Wood 4 Seater Dining Table With 4 Ollie Dining Chairs (Finish : Danish Walnut, Chair Colour : Deep Olive Velvet)" | Details={"wordCount":69,"retryWordCount":64,"restrictedUsed":["dining","wood","chairs","table","seater","walnut","comfort","home","seating","36","danish","mango","collection","deep","sculptural","offers","ensemble","features","paired","character","curved","olive","timeless","settle","velvet","four","tones","aero","seats","invite","combination","harmonious"],"similarPrior":null}
[2026-09-18T05:56:43.390Z] QUALITY_ISSUE_KEPT: ID=7543739 | Category=Lighting & Decor | Name="Kurt - White Table Lamp" | Details={"wordCount":null,"retryWordCount":61,"restrictedUsed":["wood","table","home","natural","design","living","clean","side","modern","organic","interior","balances","construction","complements","aesthetic","white","sophisticated","versatile","texture","making","tables","serves","look","point","focal","elevate","combines","offering","crisp"],"retryRestricted":["wood","crafted","presence","quiet","offers","room","features","paired","inviting","elegance","silhouette","long","lasting","evening","white","contemporary","airy","creating","utility","atmosphere","timber","sturdy","glow"],"similarPrior":null,"retrySimilar":null,"originalDirection":"compact-clarity","retryDirection":"design-character"}
[2026-09-18T06:02:52.179Z] QUALITY_ISSUE_KEPT: ID=9726763 | Category=Lighting & Decor | Name="Hatton hand crafted Solid wood honey finish table lamp With Black Cotton Shade" | Details={"wordCount":null,"retryWordCount":62,"restrictedUsed":["wood","table","solid","crafted","home","gatherings","natural","honey","warm","rich","living","12","soft","modern","features","base","paired","black","inviting","shared","create","evening","versatile","texture","blends","making","foundation","atmosphere","moments","contrast","welcoming","glow"],"retryRestricted":["wood","honey","12","presence","deep","black","interior","construction","finished","complements","amber","through","ideal","hue","dark","timber","sturdy","gentle","tactile","offering"],"similarPrior":null,"retrySimilar":null,"originalDirection":"hosting-moment","retryDirection":"form-function"}
